Tag,Title,Authors,Month,Year,JournalRef
Trulls_2014_CVPR,Segmentation-aware Deformable Part Models,"Trulls, Eduard and Tsogkas, Stavros and Kokkinos, Iasonas and Sanfeliu, Alberto and Moreno-Noguer, Francesc",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 168-175"
Hall_2014_CVPR,From Categories to Individuals in Real Time -- A Unified Boosting Approach,"Hall, David and Perona, Pietro",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 176-183"
Kalayeh_2014_CVPR,NMF-KNN: Image Annotation using Weighted Multi-view Non-negative Matrix Factorization,"Kalayeh, Mahdi M. and Idrees, Haroon and Shah, Mubarak",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 184-191"
Yu_2014_CVPR,Fine-Grained Visual Comparisons with Local Learning,"Yu, Aron and Grauman, Kristen",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 192-199"
Chen_2014_CVPR,Inferring Analogous Attributes,"Chen, Chao-Yeh and Grauman, Kristen",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 200-207"
Liang_2014_CVPR,Beyond Comparing Image Pairs: Setwise Active Learning for Relative Attributes,"Liang, Lucy and Grauman, Kristen",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 208-215"
Joo_2014_CVPR,Visual Persuasion: Inferring Communicative Intents of Images,"Joo, Jungseock and Li, Weixin and Steen, Francis F. and Zhu, Song-Chun",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 216-223"
Voravuthikunchai_2014_CVPR,Histograms of Pattern Sets for Image Classification and Object Recognition,"Voravuthikunchai, Winn and Cremilleux, Bruno and Jurie, Frederic",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 224-231"
Izadinia_2014_CVPR,Incorporating Scene Context and Object Layout into Appearance Modeling,"Izadinia, Hamid and Sadeghi, Fereshteh and Farhadi, Ali",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 232-239"
Yumer_2014_CVPR,Co-Segmentation of Textured 3D Shapes with Sparse Annotations,"Ersin Yumer, Mehmet and Chun, Won and Makadia, Ameesh",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 240-247"
Margolin_2014_CVPR,How to Evaluate Foreground Maps?,"Margolin, Ran and Zelnik-Manor, Lihi and Tal, Ayellet",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 248-255"
Wu_2014_CVPR,MILCut: A Sweeping Line Multiple Instance Learning Paradigm for Interactive Image Segmentation,"Wu, Jiajun and Zhao, Yibiao and Zhu, Jun-Yan and Luo, Siwei and Tu, Zhuowen",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 256-263"
Li_2014_CVPR,SCAMS: Simultaneous Clustering and Model Selection,"Li, Zhuwen and Cheong, Loong-Fah and Zhiying Zhou, Steven",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 264-271"
Kae_2014_CVPR,The Shape-Time Random Field for Semantic Video Labeling,"Kae, Andrew and Marlin, Benjamin and Learned-Miller, Erik",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 272-279"
Li_2014_CVPR,The Secrets of Salient Object Segmentation,"Li, Yin and Hou, Xiaodi and Koch, Christof and Rehg, James M. and Yuille, Alan L.",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 280-287"
Nascimento_2014_CVPR,Non-rigid Segmentation using Sparse Low Dimensional Manifolds and Deep Belief Networks,"Nascimento, Jacinto C. and Carneiro, Gustavo",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 288-295"
He_2014_CVPR,An Exemplar-based CRF for Multi-instance Object Segmentation,"He, Xuming and Gould, Stephen",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 296-303"
Stein_2014_CVPR,Object Partitioning using Local Convexity,"Christoph Stein, Simon and Schoeler, Markus and Papon, Jeremie and Worgotter, Florentin",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 304-311"
Bryner_2014_CVPR,"Bayesian Active Contours with Affine-Invariant, Elastic Shape Prior","Bryner, Darshan and Srivastava, Anuj",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 312-319"
Yang_2014_CVPR,Max-Margin Boltzmann Machines for Object Segmentation,"Yang, Jimei and Safar, Simon and Yang, Ming-Hsuan",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 320-327"
Arbelaez_2014_CVPR,Multiscale Combinatorial Grouping,"Arbelaez, Pablo and Pont-Tuset, Jordi and Barron, Jonathan T. and Marques, Ferran and Malik, Jitendra",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 328-335"
Humayun_2014_CVPR,RIGOR: Reusing Inference in Graph Cuts for Generating Object Regions,"Humayun, Ahmad and Li, Fuxin and Rehg, James M.",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 336-343"
Hickson_2014_CVPR,Efficient Hierarchical Graph-Based Segmentation of RGBD Videos,"Hickson, Steven and Birchfield, Stan and Essa, Irfan and Christensen, Henrik",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 344-351"
Lian_2014_CVPR,Point Matching in the Presence of Outliers in Both Point Sets: A Concave Optimization Approach,"Lian, Wei and Zhang, Lei",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 352-359"
Chang_2014_CVPR,Multiple Structured-Instance Learning for Semantic Segmentation with Uncertain Training Data,"Chang, Feng-Ju and Lin, Yen-Yu and Hsu, Kuang-Jui",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 360-367"
Mumtaz_2014_CVPR,Joint Motion Segmentation and Background Estimation in Dynamic Scenes,"Mumtaz, Adeel and Zhang, Weichen and Chan, Antoni B.",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 368-375"
Ramakanth_2014_CVPR,SeamSeg: Video Object Segmentation using Patch Seams,"Avinash Ramakanth, S. and Venkatesh Babu, R.",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 376-383"
Casaca_2014_CVPR,Laplacian Coordinates for Seeded Image Segmentation,"Casaca, Wallace and Gustavo Nonato, Luis and Taubin, Gabriel",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 384-391"
Bai_2014_CVPR,Error-tolerant Scribbles Based Interactive Image Segmentation,"Bai, Junjie and Wu, Xiaodong",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 392-399"
Subbanna_2014_CVPR,Iterative Multilevel MRF Leveraging Context and Voxel Information for Brain Tumour Segmentation in MRI,"Subbanna, Nagesh and Precup, Doina and Arbel, Tal",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 400-405"
Jensen_2014_CVPR,Large Scale Multi-view Stereopsis Evaluation,"Jensen, Rasmus and Dahl, Anders and Vogiatzis, George and Tola, Engin and Aanaes, Henrik",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 406-413"
Tung_2014_CVPR,Timing-Based Local Descriptor for Dynamic Surfaces,"Tung, Tony and Matsuyama, Takashi",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 414-421"
Ventura_2014_CVPR,A Minimal Solution to the Generalized Pose-and-Scale Problem,"Ventura, Jonathan and Arth, Clemens and Reitmayr, Gerhard and Schmalstieg, Dieter",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 422-429"
Zheng_2014_CVPR,A General and Simple Method for Camera Pose and Focal Length Determination,"Zheng, Yinqiang and Sugimoto, Shigeki and Sato, Imari and Okutomi, Masatoshi",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 430-437"
Kuang_2014_CVPR,Partial Symmetry in Polynomial Systems and its Applications in Computer Vision,"Kuang, Yubin and Zheng, Yinqiang and Astrom, Kalle",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 438-445"
Kneip_2014_CVPR,Efficient Computation of Relative Pose for Multi-Camera Systems,"Kneip, Laurent and Li, Hongdong",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 446-453"
Zhou_2014_CVPR,Simultaneous Localization and Calibration: Self-Calibration of Consumer Depth Cameras,"Zhou, Qian-Yi and Koltun, Vladlen",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 454-460"
Cao_2014_CVPR,Minimal Scene Descriptions from Structure from Motion Models,"Cao, Song and Snavely, Noah",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 461-468"
Bodis-Szomoru_2014_CVPR,"Fast, Approximate Piecewise-Planar Modeling Based on Sparse Structure-from-Motion and Superpixels","Bodis-Szomoru, Andras and Riemenschneider, Hayko and Van Gool, Luc",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 469-476"
Nasihatkon_2014_CVPR,On Projective Reconstruction In Arbitrary Dimensions,"Nasihatkon, Behrooz and Hartley, Richard and Trumpf, Jochen",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 477-484"
Wang_2014_CVPR,Stereo under Sequential Optimal Sampling: A Statistical Analysis Framework for Search Space Reduction,"Wang, Yilin and Wang, Ke and Dunn, Enrique and Frahm, Jan-Michael",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 485-492"
Habed_2014_CVPR,Efficient Pruning LMI Conditions for Branch-and-Prune Rank and Chirality-Constrained Estimation of the Dual Absolute Quadric,"Habed, Adlane and Pani Paudel, Danda and Demonceaux, Cedric and Fofi, David",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 493-500"
Ferraz_2014_CVPR,Very Fast Solution to the PnP Problem with Algebraic Outlier Rejection,"Ferraz, Luis and Binefa, Xavier and Moreno-Noguer, Francesc",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 501-508"
Lezama_2014_CVPR,Finding Vanishing Points via Point Alignments in Image Primal and Dual Domains,"Lezama, Jose and Grompone von Gioi, Rafael and Randall, Gregory and Morel, Jean-Michel",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 509-515"
Donoser_2014_CVPR,Discriminative Feature-to-Point Matching in Image-Based Localization,"Donoser, Michael and Schmalstieg, Dieter",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 516-523"
Chen_2014_CVPR,Two-View Camera Housing Parameters Calibration for Multi-Layer Flat Refractive Interface,"Chen, Xida and Yang, Yee-Hong",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 524-531"
Svarm_2014_CVPR,Accurate Localization and Pose Estimation for Large 3D Models,"Svarm, Linus and Enqvist, Olof and Oskarsson, Magnus and Kahl, Fredrik",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 532-539"
Lee_2014_CVPR,Relative Pose Estimation for a Multi-Camera System with Known Vertical Direction,"Hee Lee, Gim and Pollefeys, Marc and Fraundorfer, Friedrich",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 540-547"
Nowozin_2014_CVPR,Optimal Decisions from Probabilistic Models: The Intersection-over-Union Case,"Nowozin, Sebastian",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 548-555"
Guillemot_2014_CVPR,Covariance Trees for 2D and 3D Processing,"Guillemot, Thierry and Almansa, Andres and Boubekeur, Tamy",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 556-563"
Aodha_2014_CVPR,Hierarchical Subquery Evaluation for Active Learning on a Graph,"Mac Aodha, Oisin and Campbell, Neill D.F. and Kautz, Jan and Brostow, Gabriel J.",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 564-571"
Karayev_2014_CVPR,Anytime Recognition of Objects and Scenes,"Karayev, Sergey and Fritz, Mario and Darrell, Trevor",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 572-579"
Girshick_2014_CVPR,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"Girshick, Ross and Donahue, Jeff and Darrell, Trevor and Malik, Jitendra",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 580-587"
Vemulapalli_2014_CVPR,Human Action Recognition by Representing 3D Skeletons as Points in a Lie Group,"Vemulapalli, Raviteja and Arrate, Felipe and Chellappa, Rama",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 588-595"
Cai_2014_CVPR,Multi-View Super Vector for Action Recognition,"Cai, Zhuowei and Wang, Limin and Peng, Xiaojiang and Qiao, Yu",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 596-603"
Jones_2014_CVPR,Unsupervised Spectral Dual Assignment Clustering of Human Actions in Context,"Jones, Simon and Shao, Ling",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 604-611"
Pirsiavash_2014_CVPR,Parsing Videos of Actions with Segmental Grammars,"Pirsiavash, Hamed and Ramanan, Deva",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 612-619"
Su_2014_CVPR,Rate-Invariant Analysis of Trajectories on Riemannian Manifolds with Application in Visual Speech Recognition,"Su, Jingyong and Srivastava, Anuj and de Souza, Fillipe D. M. and Sarkar, Sudeep",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 620-627"
Cabral_2014_CVPR,Piecewise Planar and Compact Floorplan Reconstruction from Images,"Cabral, Ricardo and Furukawa, Yasutaka",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 628-635"
Zhang_2014_CVPR,Data-driven Flower Petal Modeling with Botany Priors,"Zhang, Chenxi and Ye, Mao and Fu, Bo and Yang, Ruigang",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 636-643"
Taylor_2014_CVPR,User-Specific Hand Modeling from Monocular Depth Sequences,"Taylor, Jonathan and Stebbing, Richard and Ramakrishna, Varun and Keskin, Cem and Shotton, Jamie and Izadi, Shahram and Hertzmann, Aaron and Fitzgibbon, Andrew",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 644-651"
Hane_2014_CVPR,Class Specific 3D Object Shape Priors Using Surface Normals,"Hane, Christian and Savinov, Nikolay and Pollefeys, Marc",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 652-659"
Liu_2014_CVPR,Frequency-Based 3D Reconstruction of Transparent and Specular Objects,"Liu, Ding and Chen, Xida and Yang, Yee-Hong",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 660-667"
Perbet_2014_CVPR,Human Body Shape Estimation Using a Multi-Resolution Manifold Forest,"Perbet, Frank and Johnson, Sam and Pham, Minh-Tri and Stenger, Bjorn",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 668-675"
Zhang_2014_CVPR,Quality Dynamic Human Body Modeling Using a Single Low-cost Depth Camera,"Zhang, Qing and Fu, Bo and Ye, Mao and Yang, Ruigang",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 676-683"
Liu_2014_CVPR,Single-View 3D Scene Parsing by Attributed Grammar,"Liu, Xiaobai and Zhao, Yibiao and Zhu, Song-Chun",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 684-691"
Zou_2014_CVPR,Separation of Line Drawings Based on Split Faces for 3D Object Reconstruction,"Zou, Changqing and Yang, Heng and Liu, Jianzhuang",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 692-699"
Zhang_2014_CVPR,When 3D Reconstruction Meets Ubiquitous RGB-D Images,"Zhang, Quanshi and Song, Xuan and Shao, Xiaowei and Zhao, Huijing and Shibasaki, Ryosuke",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 700-707"
Chhatkuli_2014_CVPR,Stable Template-Based Isometric 3D Reconstruction in All Imaging Conditions by Linear Least-Squares,"Chhatkuli, Ajad and Pizarro, Daniel and Bartoli, Adrien",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 708-715"
Liu_2014_CVPR,Discrete-Continuous Depth Estimation from a Single Image,"Liu, Miaomiao and Salzmann, Mathieu and He, Xuming",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 716-723"
Wu_2014_CVPR,Leveraging Hierarchical Parametric Networks for Skeletal Joints Based Action Segmentation and Recognition,"Wu, Di and Shao, Ling",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 724-731"
Siddharth_2014_CVPR,Seeing What You're Told: Sentence-Guided Activity Recognition In Video,"Siddharth, Narayanaswamy and Barbu, Andrei and Mark Siskind, Jeffrey",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 732-739"
Jain_2014_CVPR,Action Localization with Tubelets from Motion,"Jain, Mihir and van Gemert, Jan and Jegou, Herve and Bouthemy, Patrick and Snoek, Cees G.M.",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 740-747"
Chen_2014_CVPR,Actionness Ranking with Lattice Conditional Ordinal Random Fields,"Chen, Wei and Xiong, Caiming and Xu, Ran and Corso, Jason J.",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 748-755"
Ni_2014_CVPR,Multiple Granularity Analysis for Fine-grained Action Detection,"Ni, Bingbing and Paramathayalan, Vignesh R. and Moulin, Pierre",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 756-763"
Sultani_2014_CVPR,Human Action Recognition Across Datasets by Foreground-weighted Histogram Decomposition,"Sultani, Waqas and Saleemi, Imran",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 764-771"
Lu_2014_CVPR,Range-Sample Depth Feature for Action Recognition,"Lu, Cewu and Jia, Jiaya and Tang, Chi-Keung",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 772-779"
Kuehne_2014_CVPR,The Language of Actions: Recovering the Syntax and Semantics of Goal-Directed Human Activities,"Kuehne, Hilde and Arslan, Ali and Serre, Thomas",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 780-787"
Swears_2014_CVPR,Complex Activity Recognition using Granger Constrained DBN (GCDBN) in Sports and Surveillance Video,"Swears, Eran and Hoogs, Anthony and Ji, Qiang and Boyer, Kim",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 788-795"
Hasan_2014_CVPR,Incremental Activity Modeling and Recognition in Streaming Videos,"Hasan, Mahmudul and Roy-Chowdhury, Amit K.",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 796-803"
Yang_2014_CVPR,Super Normal Vector for Activity Recognition Using Depth Sequences,"Yang, Xiaodong and Tian, YingLi",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 804-811"
Lillo_2014_CVPR,Discriminative Hierarchical Modeling of Spatio-Temporally Composable Human Activities,"Lillo, Ivan and Soto, Alvaro and Carlos Niebles, Juan",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 812-819"
Jones_2014_CVPR,A Multigraph Representation for Improved Unsupervised/Semi-supervised Learning of Human Actions,"Jones, Simon and Shao, Ling",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 820-826"
Tapaswi_2014_CVPR,StoryGraphs: Visualizing Character Interactions as a Timeline,"Tapaswi, Makarand and Bauml, Martin and Stiefelhagen, Rainer",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 827-834"
Xu_2014_CVPR,Learning Receptive Fields for Pooling from Tensors of Feature Response,"Xu, Can and Vasconcelos, Nuno",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 835-842"
Dong_2014_CVPR,Towards Unified Human Parsing and Pose Estimation,"Dong, Jian and Chen, Qiang and Shen, Xiaohui and Yang, Jianchao and Yan, Shuicheng",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 843-850"
Fanello_2014_CVPR,Ask the Image: Supervised Pooling to Preserve Feature Locality,"Ryan Fanello, Sean and Noceti, Nicoletta and Ciliberto, Carlo and Metta, Giorgio and Odone, Francesca",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 851-858"
Wah_2014_CVPR,Similarity Comparisons for Interactive Fine-Grained Categorization,"Wah, Catherine and Van Horn, Grant and Branson, Steve and Maji, Subhransu and Perona, Pietro and Belongie, Serge",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 859-866"
Hoffman_2014_CVPR,Continuous Manifold Based Adaptation for Evolving Visual Domains,"Hoffman, Judy and Darrell, Trevor and Saenko, Kate",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 867-874"
Hoai_2014_CVPR,Talking Heads: Detecting Humans and Recognizing Their Interactions,"Hoai, Minh and Zisserman, Andrew",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 875-882"
Kim_2014_CVPR,Salient Region Detection via High-Dimensional Color Transform,"Kim, Jiwhan and Han, Dongyoon and Tai, Yu-Wing and Kim, Junmo",June,2014,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2014, pp. 883-890"
