_id,Tag,Title,Authors,Month,Year,JournalRef,Up_System
18,arXiv:1812.11586,Leishmaniasis Parasite Segmentation and Classification using Deep Learning,"Marc Grriz, Albert Aparicio, Berta Ravents, Vernica Vilaplana, Elisa Sayrol, Daniel Lpez-Codina",December,2018,"Articulated Motion and Deformable Objects, Series volume 10945 , 2018, Springer International Publishing AG, part of Springer Nature",CM
19,arXiv:1812.11574,Fingerprint Presentation Attack Detection: Generalization and Efficiency,"Tarang Chugh, Anil K. Jain",December,2018,,CM
20,arXiv:1812.11560,Monte-Carlo Sampling applied to Multiple Instance Learning for Histological Image Classification,"Marc Combalia, Veronica Vilaplana",December,2018,,CM
21,arXiv:1812.11532,Linear solution to the minimal absolute pose rolling shutter problem,"Zuzana Kukelova, Cenek Albl, Akihiro Sugimoto, Tomas Pajdla",December,2018,,CM
22,arXiv:1812.11489,A High-Performance CNN Method for Offline Handwritten Chinese Character Recognition and Visualization,"Pavlo Melnyk, Zhiqiang You, Keqin Li",December,2018,,CM
23,arXiv:1812.11478,DART: Domain-Adversarial Residual-Transfer Networks for Unsupervised Cross-Domain Image Classification,"Xianghong Fang, Haoli Bai, Ziyi Guo, Bin Shen, Steven Hoi, Zenglin Xu",December,2018,,CM
24,arXiv:1812.11477,Machine learning in resting-state fMRI analysis,"Meenakshi Khosla, Keith Jamison, Gia H. Ngo, Amy Kuceyeski, Mert R. Sabuncu",December,2018,,CM
25,arXiv:1812.11440,Brain MRI super-resolution using 3D generative adversarial networks,"Irina Sanchez, Veronica Vilaplana",December,2018,,CM
26,arXiv:1812.11383,Feature Preserving and Uniformity-controllable Point Cloud Simplification on Graph,"Junkun Qi, Wei Hu, Zongming Guo",December,2018,,CM
27,arXiv:1812.11369,EANet: Enhancing Alignment for Cross-Domain Person Re-identification,"Houjing Huang, Wenjie Yang, Xiaotang Chen, Xin Zhao, Kaiqi Huang, Jinbin Lin, Guan Huang, Dalong Du",December,2018,,CM
28,arXiv:1812.11339,Rendu bas image avec contraintes sur les gradients,"Grgoire Nieto, Frdric Devernay, James Crowley",December,2018,,CM
29,arXiv:1812.11337,Quantized Guided Pruning for Efficient Hardware Implementations of Convolutional Neural Networks,"Ghouthi Boukli Hacene, Vincent Gripon, Matthieu Arzel, Nicolas Farrugia, Yoshua Bengio",December,2018,,CM
30,arXiv:1812.11328,Skeleton Transformer Networks: 3D Human Pose and Skinned Mesh from Single RGB Image,"Yusuke Yoshiyasu, Ryusuke Sagawa, Ko Ayusawa, Akihiko Murai",December,2018,,CM
31,arXiv:1812.11319,A Deep Learning based Framework to Detect and Recognize Humans using Contactless Palmprints in the Wild,"Yang Liu, Ajay Kumar",December,2018,,CM
32,arXiv:1812.11317,Support Vector Guided Softmax Loss for Face Recognition,"Xiaobo Wang, Shuo Wang, Shifeng Zhang, Tianyu Fu, Hailin Shi, Tao Mei",December,2018,,CM
33,arXiv:1812.11302,Annotation-cost Minimization for Medical Image Segmentation using Suggestive Mixed Supervision Fully Convolutional Networks,"Yash Bhalgat, Meet Shah, Suyash Awate",December,2018,,CM
34,arXiv:1812.11295,Monocular 3D Pose Recovery via Nonconvex Sparsity with Theoretical Analysis,"Jianqiao Wangni, Dahua Lin, Ji Liu, Kostas Daniilidis, Jianbo Shi",December,2018,,CM
35,arXiv:1812.11284,3D Convolution on RGB-D Point Clouds for Accurate Model-free Object Pose Estimation,"Zhongang Cai, Cunjun Yu, Quang-Cuong Pham",December,2018,,CM
36,arXiv:1812.11214,Kymatio: Scattering Transforms in Python,"Mathieu Andreux, Toms Angles, Georgios Exarchakis, Roberto Leonarduzzi, Gaspar Rochette, Louis Thiry, John Zarka, Stphane Mallat, Joakim Andn, Eugene Belilovsky, Joan Bruna, Vincent Lostanlen, Matthew J. Hirn, Edouard Oyallon, Sixhin Zhang, Carmine Cella, Michael Eickenberg",December,2018,,CM
37,arXiv:1812.11209,CamLoc: Pedestrian Location Detection from Pose Estimation on Resource-constrained Smart-cameras,"Adrian Cosma, Ion Emilian Radoi, Valentin Radu",December,2018,,CM
38,arXiv:1812.11207,CFA Bayer image sequence denoising and demosaicking chain,"Antoni Buades, Joan Duran",December,2018,,CM
39,arXiv:1812.11204,Class-Aware Adversarial Lung Nodule Synthesis in CT Images,"Jie Yang, Siqi Liu, Sasa Grbic, Arnaud Arindra Adiyoso Setio, Zhoubing Xu, Eli Gibson, Guillaume Chabin, Bogdan Georgescu, Andrew F. Laine, Dorin Comaniciu",December,2018,,CM
40,arXiv:1812.11166,Learning to Reconstruct Shapes from Unseen Classes,"Xiuming Zhang, Zhoutong Zhang, Chengkai Zhang, Joshua B. Tenenbaum, William T. Freeman, Jiajun Wu",December,2018,,CM
41,arXiv:1812.11139,Artistic Object Recognition by Unsupervised Style Adaptation,"Christopher Thomas, Adriana Kovashka",December,2018,Asian Conference on Computer Vision 2018 (ACCV),CM
42,arXiv:1812.11092,Multi-resolution neural networks for tracking seismic horizons from few training images,"Bas Peters, Justin Granek, Eldad Haber",December,2018,,CM
43,arXiv:1812.11017,Deflecting 3D Adversarial Point Clouds Through Outlier-Guided Removal,"Hang Zhou, Kejiang Chen, Weiming Zhang, Han Fang, Wenbo Zhou, Nenghai Yu",December,2018,,CM
44,arXiv:1812.11006,TOP-GAN: Label-Free Cancer Cell Classification Using Deep Learning with a Small Training Set,"Moran Rubin, Omer Stein, Nir A. Turko, Yoav Nygate, Darina Roitshtain, Lidor Karako, Itay Barnea, Raja Giryes, Natan T. Shaked",December,2018,,CM
45,arXiv:1812.11004,Hierarchical LSTMs with Adaptive Attention for Visual Captioning,"Jingkuan Song, Xiangpeng Li, Lianli Gao, Heng Tao Shen",December,2018,,CM
46,arXiv:1812.10998,Learning from past scans: Tomographic reconstruction to detect new structures,"Preeti Gopal, Sharat Chandran, Imants Svalbe, Ajit Rajwade",December,2018,,CM
47,arXiv:1812.10968,Car Detection using Unmanned Aerial Vehicles: Comparison between Faster R-CNN and YOLOv3,"Bilel Benjdira, Taha Khursheed, Anis Koubaa, Adel Ammar, Kais Ouni",December,2018,"The 1st Unmanned Vehicle Systems conference in Oman, Feb 2019",CM
48,arXiv:1812.10967,TROVE Feature Detection for Online Pose Recovery by Binocular Cameras,"Yuance Liu, Michael Z. Q. Chen",December,2018,,CM
49,arXiv:1812.10915,Spatiotemporal Data Fusion for Precipitation Nowcasting,"Vladimir Ivashkin, Vadim Lebedev",December,2018,,CM
50,arXiv:1812.10902,Deep Convolutional Neural Networks in the Face of Caricature: Identity and Image Revealed,"Matthew Q. Hill, Connor J. Parde, Carlos D. Castillo, Y. Ivette Colon, Rajeev Ranjan, Jun-Cheng Chen, Volker Blanz, Alice J. O'Toole",December,2018,,CM
51,arXiv:1812.10885,Coarse-to-fine Semantic Segmentation from Image-level Labels,"Longlong Jing, Yucheng Chen, Yingli Tian",December,2018,,CM
52,arXiv:1812.10859,Signal Classification under structure sparsity constraints,Tiep Huu Vu,December,2018,,CM
53,arXiv:1812.10818,Classification of radiology reports by modality and anatomy: A comparative study,"Marina Bendersky, Joy Wu, Tanveer Syeda-Mahmood",December,2018,,CM
54,arXiv:1812.10812,DeepBillboard: Systematic Physical-World Testing of Autonomous Driving Systems,"Husheng Zhou, Wei Li, Yuankun Zhu, Yuqun Zhang, Bei Yu, Lingming Zhang, Cong Liu",December,2018,,CM
55,arXiv:1812.10788,Hyperspectral Unmixing Based on Clustered Multitask Networks,"Sara Khoshsokhan, Roozbeh Rajabi, Hadi Zayyani",December,2018,,CM
56,arXiv:1812.10786,Future semantic segmentation of time-lapsed videos with large temporal displacement,"Talha Siddiqui, Samarth Bharadwaj",December,2018,,CM
57,arXiv:1812.10784,Can Image Enhancement be Beneficial to Find Smoke Images in Laparoscopic Surgery?,"Congcong Wang, Vivek Sharma, Yu Fan, Faouzi Alaya Cheikh, Azeddine Beghdadi, Ole Jacob Elle, Rainer Stiefelhagen",December,2018,,CM
58,arXiv:1812.10779,Semantic Driven Multi-Camera Pedestrian Detection,"Alejandro Lpez-Cifuentes, Marcos Escudero-Violo, Jess Bescs, Pablo Carballeira",December,2018,,CM
59,arXiv:1812.10775,3D Point-Capsule Networks,"Yongheng Zhao, Tolga Birdal, Haowen Deng, Federico Tombari",December,2018,,CM
60,arXiv:1812.10766,SMPLR: Deep SMPL reverse for 3D human pose and shape recovery,"Meysam Madadi, Hugo Bertiche, Sergio Escalera",December,2018,,CM
61,arXiv:1812.10747,Off-the-grid model based deep learning (O-MODL),"Aniket Pramanik, Hemant Kumar Aggarwal, Mathews Jacob",December,2018,,CM
62,arXiv:1812.10745,Finite State Machines for Semantic Scene Parsing and Segmentation,Hichem Sahbi,December,2018,,CM
63,arXiv:1812.10705,Surface Networks via General Covers,"Niv Haim, Nimrod Segol, Heli Ben-Hamu, Haggai Maron, Yaron Lipman",December,2018,,CM
64,arXiv:1812.10695,No-Reference Color Image Quality Assessment: From Entropy to Perceptual Quality,"Xiaoqiao Chen, Qingyi Zhang, Manhui Lin, Guangyi Yang, Chu He",December,2018,,CM
65,arXiv:1812.10636,Chart-Text: A Fully Automated Chart Image Descriptor,"Abhijit Balaji, Thuvaarakkesh Ramanathan, Venkateshwarlu Sonathi",December,2018,,CM
66,arXiv:1812.10595,Deep Learning based Early Detection and Grading of Diabetic Retinopathy Using Retinal Fundus Images,"Sheikh Muhammad Saiful Islam, Md Mahedi Hasan, Sohaib Abdullah",December,2018,,CM
67,arXiv:1812.10587,Learning Dynamic Generator Model by Alternating Back-Propagation Through Time,"Jianwen Xie, Ruiqi Gao, Zilong Zheng, Song-Chun Zhu, Ying Nian Wu",December,2018,The Thirty-Third AAAI Conference on Artificial Intelligence (AAAI) 2019,CM
68,arXiv:1812.10558,Deception Detection by 2D-to-3D Face Reconstruction from Videos,"Minh Ng, Burak Mandira, Selim Frat Ylmaz, Ward Heij, Sezer Karaoglu, Henri Bouma, Hamdi Dibeklioglu, Theo Gevers",December,2018,,CM
69,arXiv:1812.10553,Solving Archaeological Puzzles,"Niv Derech, Ayellet Tal, Ilan Shimshoni",December,2018,,CM
70,arXiv:1812.10550,Learning to Recognize 3D Human Action from A New Skeleton-based Representation Using Deep Convolutional Neural Networks,"Huy-Hieu Pham, Louahdi Khoudour, Alain Crouzil, Pablo Zegers, Sergio A. Velastin",December,2018,,CM
71,arXiv:1812.10532,A Unified Learning Based Framework for Light Field Reconstruction from Coded Projections,"Anil Kumar Vadathya, Sharath Girish, Kaushik Mitra",December,2018,,CM
72,arXiv:1812.10524,Exploring the Challenges towards Lifelong Fact Learning,"Mohamed Elhoseiny, Francesca Babiloni, Rahaf Aljundi, Marcus Rohrbach, Manohar Paluri, Tinne Tuytelaars",December,2018,,CM
73,arXiv:1812.10482,Finger-GAN: Generating Realistic Fingerprint Images Using Connectivity Imposed GAN,"Shervin Minaee, Amirali Abdolrashidi",December,2018,,CM
74,arXiv:1812.10477,Residual Dense Network for Image Restoration,"Yulun Zhang, Yapeng Tian, Yu Kong, Bineng Zhong, Yun Fu",December,2018,,CM
75,arXiv:1812.10411,Cross Lingual Speech Emotion Recognition: Urdu vs. Western Languages,"Siddique Latif, Adnan Qayyum, Muhammad Usman, Junaid Qadir",December,2018,,CM
76,arXiv:1812.10378,Urban-Rural Environmental Gradient in a Developing City: Testing ENVI GIS Functionality,Polina Lemenkova,December,2018,"Conference Proceedings 'Abishevskie Readings. Innovation in the Complex Processing of Mineral Raw Materials', 21-22 Jan 2016",CM
77,arXiv:1812.10358,Informative Object Annotations: Tell Me Something I Don't Know,"Lior Bracha, Gal Chechik",December,2018,,CM
78,arXiv:1812.10352,Learning Not to Learn: Training Deep Neural Networks with Biased Data,"Byungju Kim, Hyunwoo Kim, Kyungsu Kim, Sungjin Kim, Junmo Kim",December,2018,,CM
79,arXiv:1812.10330,Region Proposal Networks with Contextual Selective Attention for Real-Time Organ Detection,"Awais Mansoor, Antonio R. Porras, Marius George Linguraru",December,2018,,CM
80,arXiv:1812.10328,A Multi-Stream Convolutional Neural Network Framework for Group Activity Recognition,"Sina Mokhtarzadeh Azar, Mina Ghadimi Atigh, Ahmad Nickabadi",December,2018,,CM
81,arXiv:1812.10325,Cluster Loss for Person Re-Identification,"Doney Alex, Zishan Sami, Sumandeep Banerjee, Subrat Panda",December,2018,,CM
82,arXiv:1812.10320,Structure-Aware 3D Hourglass Network for Hand Pose Estimation from Single Depth Image,"Fuyang Huang, Ailing Zeng, Minhao Liu, Jing Qin, Qiang Xu",December,2018,,CM
83,arXiv:1812.10306,Spotting Micro-Expressions on Long Videos Sequences,"Jingting Li, Catherine Soladie, Renaud Sguier, Sujing Wang, Moi Hoon Yap",December,2018,,CM
84,arXiv:1812.10305,Spatial and Temporal Mutual Promotion for Video-based Person Re-identification,"Yiheng Liu, Zhenxun Yuan, Wengang Zhou, Houqiang Li",December,2018,,CM
85,arXiv:1812.10256,A Whole Slide Image Grading Benchmark and Tissue Classification for Cervical Cancer Precursor Lesions with Inter-Observer Variability,"Abdulkadir Albayrak, Asli Unlu, Nurullah Calik, Abdulkerim Capar, Gokhan Bilgin, Behcet Ugur Toreyin, Bahar Muezzinoglu, Ilknur Turkmen, Lutfiye Durak-Ata",December,2018,,CM
86,arXiv:1812.10240,Studying the Plasticity in Deep Convolutional Neural Networks using Random Pruning,"Deepak Mittal, Shweta Bhardwaj, Mitesh M. Khapra, Balaraman Ravindran",December,2018,,CM
87,arXiv:1812.10217,Practical Adversarial Attack Against Object Detector,"Yue Zhao, Hong Zhu, Qintao Shen, Ruigang Liang, Kai Chen, Shengzhi Zhang",December,2018,,CM
88,arXiv:1812.10213,End-to-End Latent Fingerprint Search,"Kai Cao, Dinh-Luan Nguyen, Cori Tymoszek, A. K. Jain",December,2018,,CM
89,arXiv:1812.10212,RegNet: Learning the Optimization of Direct Image-to-Image Pose Registration,"Lei Han, Mengqi Ji, Lu Fang, Matthias Niener",December,2018,,CM
90,arXiv:1812.10179,Deep Convolutional Generative Adversarial Network Based Food Recognition Using Partially Labeled Data,"Bappaditya Mandal, N. B. Puhan, Avijit Verma",December,2018,,CM
91,arXiv:1812.10157,Motion Selective Prediction for Video Frame Synthesis,Veronique Prinet,December,2018,,CM
92,arXiv:1812.10111,A Survey on Non-rigid 3D Shape Analysis,Hamid Laga,December,2018,,CM
93,arXiv:1812.10098,The algorithm of the impulse noise filtration in images based on an algorithm of community detection in graphs,"S. V. Belim, S. B. Larionov",December,2018,"2017 Dynamics of Systems, Mechanisms and Machines (Dynamics), Omsk, Russia, pp. 1-5",CM
94,arXiv:1812.10087,Classification of X-Ray Protein Crystallization Using Deep Convolutional Neural Networks with a Finder Module,"Yusei Miura, Tetsuya Sakurai, Claus Aranha, Toshiya Senda, Ryuichi Kato, Yusuke Yamada",December,2018,,CM
95,arXiv:1812.10000,Similarity R-C3D for Few-shot Temporal Activity Detection,"Huijuan Xu, Bingyi Kang, Ximeng Sun, Jiashi Feng, Kate Saenko, Trevor Darrell",December,2018,,CM
96,arXiv:1812.09930,Color Image Enhancement Method Based on Weighted Image Guided Filtering,"Qi Mu, Yanyan Wei, Zhanli Li",December,2018,,CM
97,arXiv:1812.09924,Dual Principal Component Pursuit: Probability Analysis and Efficient Algorithms,"Zhihui Zhu, Yifan Wang, Daniel P. Robinson, Daniel Q. Naiman, Rene Vidal, Manolis C. Tsakiris",December,2018,,CM
98,arXiv:1812.09912,Image-to-Image Translation via Group-wise Deep Whitening and Coloring Transformation,"Wonwoong Cho, Sungha Choi, David Park, Inkyu Shin, Jaegul Choo",December,2018,,CM
99,arXiv:1812.09903,Domain-Aware Generalized Zero-Shot Learning,"Yuval Atzmon, Gal Chechik",December,2018,,CM
100,arXiv:1812.09900,TextNet: Irregular Text Reading from Images with an End-to-End Trainable Network,"Yipeng Sun, Chengquan Zhang, Zuming Huang, Jiaming Liu, Junyu Han, Errui Ding",December,2018,,CM
101,arXiv:1812.09888,Motion Blur removal via Coupled Autoencoder,"Kavya Gupta, Brojeshwar Bhowmick, Angshul Majumdar",December,2018,"2017 IEEE International Conference on Image Processing (ICIP)(pages - 480-484, September 2017)",CM
102,arXiv:1812.09878,Coupled Analysis Dictionary Learning to inductively learn inversion: Application to real-time reconstruction of Biomedical signals,"Kavya Gupta, Brojeshwar Bhowmick, Angshul Majumdar",December,2018,,CM
103,arXiv:1812.09834,Holistic Decomposition Convolution for Effective Semantic Segmentation of 3D MR Images,"Guodong Zeng, Guoyan Zheng",December,2018,,CM
104,arXiv:1812.09832,Texture Deformation Based Generative Adversarial Networks for Face Editing,"WenTing Chen, Xinpeng Xie, Xi Jia, Linlin Shen",December,2018,,CM
105,arXiv:1812.09818,Precision Highway for Ultra Low-Precision Quantization,"Eunhyeok Park, Dongyoung Kim, Sungjoo Yoo, Peter Vajda",December,2018,,CM
106,arXiv:1812.09809,Writer-Aware CNN for Parsimonious HMM-Based Offline Handwritten Chinese Text Recognition,"Zi-Rui Wang, Jun Du, Jia-Ming Wang",December,2018,,CM
107,arXiv:1812.09793,Deep Learning for Inferring the Surface Solar Irradiance from Sky Imagery,"Mehdi Zakroum, Mounir Ghogho, Mustapha Faqir, Mohamed Aymane Ahajjam",December,2018,,CM
108,arXiv:1812.09744,Leveraging Class Similarity to Improve Deep Neural Network Robustness,"Pooran Singh Negi, David chan, Mohammad Mahoor",December,2018,,CM
109,arXiv:1812.09737,End-to-end Learning for Graph Decomposition,"Jie Song, Bjoern Andres, Michael Black, Otmar Hilliges, Siyu Tang",December,2018,,CM
110,arXiv:1812.09702,Advanced Image Processing for Astronomical Images,"Diganta Misra, Sparsha Mishra, Bhargav Appasani",December,2018,,CM
111,arXiv:1812.09681,Multi-modal Learning with Prior Visual Relation Reasoning,"Zhuoqian Yang, Jing Yu, Chenghao Yang, Zengchang Qin, Yue Hu",December,2018,,CM
112,arXiv:1812.09648,Chinese Herbal Recognition based on Competitive Attentional Fusion of Multi-hierarchies Pyramid Features,"Yingxue Xu, Guihua Wen, Yang Hu, Mingnan Luo, Dan Dai, Yishan Zhuang",December,2018,,CM
113,arXiv:1812.09629,Estimation and Restoration of Compositional Degradation Using Convolutional Neural Networks,"Kazutaka Uchida, Masayuki Tanaka, Masatoshi Okutomi",December,2018,,CM
114,arXiv:1812.09570,EgoReID: Person re-identification in Egocentric Videos Acquired by Mobile Devices with First-Person Point-of-View,"Emrah Basaran, Yonatan Tariku Tesfaye, Mubarak Shah",December,2018,,CM
115,arXiv:1812.09569,The algorithm of formation of a training set for an artificial neural network for image segmentation,"S. V. Belim, S. B. Larionov",December,2018,,CM
116,arXiv:1812.09533,Temporal Hockey Action Recognition via Pose and Optical Flows,"Zixi Cai, Helmut Neher, Kanav Vats, David Clausi, John Zelek",December,2018,,CM
117,arXiv:1812.09530,Dimensionality Reduction of Hyperspectral Imagery Based on Spatial-spectral Manifold Learning,"Hong Huang, Guangyao Shi, Haibo He, Yule Duan, Fulin Luo",December,2018,,CM
118,arXiv:1812.09477,Fully Automatic Segmentation of Sublingual Veins from Retrained U-Net Model for Few Near Infrared Images,"Tingxiao Yang, Yuichiro Yoshimura, Akira Morita, Takao Namiki, Toshiya Nakaguchi",December,2018,,CM
119,arXiv:1812.09431,Dissociable neural representations of adversarially perturbed images in deep neural networks and the human brain,"Chi Zhang, Xiaohan Duan, Linyuan Wang, Yongli Li, Bin Yan, Guoen Hu, Ruyuan Zhang, Li Tong",December,2018,,CM
120,arXiv:1812.09427,Image Embedding of PMU Data for Deep Learning towards Transient Disturbance Classification,"Yongli Zhu, Chengxi Liu, Kai Sun",December,2018,,CM
121,arXiv:1812.09375,Multi-Frame Super-Resolution Reconstruction with Applications to Medical Imaging,Thomas Khler,December,2018,,CM
122,arXiv:1812.09366,Wireless Software Synchronization of Multiple Distributed Cameras,"Sameer Ansari, Neal Wadhwa, Rahul Garg, Jiawen Chen",December,2018,,CM
123,arXiv:1812.09336,An Empirical Analysis of Deep Audio-Visual Models for Speech Recognition,"Devesh Walawalkar, Yihui He, Rohit Pillai",December,2018,,CM
124,arXiv:1812.09280,Canonical Correlation Analysis for Misaligned Satellite Image Change Detection,Hichem Sahbi,December,2018,,CM
125,arXiv:1812.09276,Multimodal Sensor Fusion In Single Thermal image Super-Resolution,"Feras Almasri, Olivier Debeir",December,2018,,CM
126,arXiv:1812.09271,Polygonal approximation of digital planar curve using novel significant measure,"Mangayarkarasi Ramaiah, Dilip K. Prasad",December,2018,,CM
127,arXiv:1812.09232,Learning from Web Data: the Benefit of Unsupervised Object Localization,"Xiaoxiao Sun, Liang Zheng, Yu-Kun Lai, Jufeng Yang",December,2018,,CM
128,arXiv:1812.09162,Quicker ADC : Unlocking the hidden potential of Product Quantization with SIMD,"Fabien Andr, Anne-Marie Kermarrec, Nicolas Le Scouarnec",December,2018,,CM
129,arXiv:1812.09131,A Multiscale Image Denoising Algorithm Based On Dilated Residual Convolution Network,"Chang Liu, Zhaowei Shang, Anyong Qin",December,2018,,CM
130,arXiv:1812.09127,A Smart Security System with Face Recognition,"Trung Nguyen, Barth Lakshmanan, Weihua Sheng",December,2018,,CM
131,arXiv:1812.09119,Cascaded Coarse-to-Fine Deep Kernel Networks for Efficient Satellite Image Change Detection,Hichem Sahbi,December,2018,,CM
132,arXiv:1812.09111,Generative Models from the perspective of Continual Learning,"Timothe Lesort, Hugo Caselles-Dupr, Michael Garcia-Ortiz, Andrei Stoian, David Filliat",December,2018,,CM
133,arXiv:1812.09079,3DSRnet: Video Super-resolution using 3D Convolutional Neural Networks,"Soo Ye Kim, Jeongyeon Lim, Taeyoung Na, Munchurl Kim",December,2018,,CM
134,arXiv:1812.09046,3D multirater RCNN for multimodal multiclass detection and characterisation of extremely small objects,"Carole H. Sudre, Beatriz Gomez Anson, Silvia Ingala, Chris D. Lane, Daniel Jimenez, Lukas Haider, Thomas Varsavsky, Lorna Smith, H. Rolf Jger, M. Jorge Cardoso",December,2018,,CM
135,arXiv:1812.09041,"A Multi-task Neural Approach for Emotion Attribution, Classification and Summarization","Guoyun Tu, Yanwei Fu, Boyang Li, Jiarui Gao, Yu-Gang Jiang, Xiangyang Xue",December,2018,,CM
136,arXiv:1812.09025,Detection of distal radius fractures trained by a small set of X-ray images and Faster R-CNN,"Erez Yahalomi, Michael Chernofsky, Michael Werman",December,2018,Computing Conference 2019,CM
137,arXiv:1812.09010,Face Hallucination Revisited: An Exploratory Study on Dataset Bias,"Klemen Grm, Martin Pernu, Leo Cluzel, Walter Scheirer, Simon Dobriek, Vitomir truc",December,2018,,CM
138,arXiv:1812.08985,Non-Adversarial Image Synthesis with Generative Latent Nearest Neighbors,"Yedid Hoshen, Jitendra Malik",December,2018,,CM
139,arXiv:1812.08983,A Deep Four-Stream Siamese Convolutional Neural Network with Joint Verification and Identification Loss for Person Re-detection,"Amena Khatun, Simon Denman, Sridha Sridharan, Clinton Fookes",December,2018,,CM
140,arXiv:1812.08974,Multi-component Image Translation for Deep Domain Generalization,"Mohammad Mahfujur Rahman, Clinton Fookes, Mahsa Baktashmotlagh, Sridha Sridharan",December,2018,,CM
141,arXiv:1812.08973,Saliency Guided Hierarchical Robust Visual Tracking,"Fangwen Tu, Shuzhi Sam Ge, Yazhe Tang, Chang Chieh Hang",December,2018,,CM
142,arXiv:1812.08934,ChamNet: Towards Efficient Network Design through Platform-Aware Model Adaptation,"Xiaoliang Dai, Peizhao Zhang, Bichen Wu, Hongxu Yin, Fei Sun, Yanghan Wang, Marat Dukhan, Yunqing Hu, Yiming Wu, Yangqing Jia, Peter Vajda, Matt Uyttendaele, Niraj K. Jha",December,2018,,CM
143,arXiv:1812.08928,Slimmable Neural Networks,"Jiahui Yu, Linjie Yang, Ning Xu, Jianchao Yang, Thomas Huang",December,2018,,CM
144,arXiv:1812.08915,Efficient Misalignment-Robust Multi-Focus Microscopical Images Fusion,"Yixiong Liang, Yuan Mao, Zhihong Tang, Meng Yan, Yuqian Zhao, Jianfeng Liu",December,2018,,CM
